Steppingstone sampler:
        No Stones:                  100
        Start It:                   1010001
        It Per Stone:               10000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	7500	-6.705853	-6.705853
1	0.950747	7500	-6.619673	-13.325526
2	0.926679	7500	-6.456354	-19.781881
3	0.902980	7500	-6.393812	-26.175693
4	0.879648	7500	-6.291802	-32.467495
5	0.856682	7500	-6.213029	-38.680524
6	0.834079	7500	-6.118913	-44.799436
7	0.811838	7500	-6.044838	-50.844274
8	0.789957	7500	-5.993943	-56.838217
9	0.768433	7500	-5.862251	-62.700468
10	0.747266	7500	-5.757662	-68.458129
11	0.726452	7500	-5.682887	-74.141016
12	0.705989	7500	-5.600374	-79.741390
13	0.685877	7500	-5.460237	-85.201627
14	0.666112	7500	-5.397248	-90.598875
15	0.646693	7500	-5.358821	-95.957696
16	0.627618	7500	-5.220850	-101.178546
17	0.608884	7500	-5.184999	-106.363545
18	0.590490	7500	-5.067315	-111.430860
19	0.572433	7500	-5.005003	-116.435864
20	0.554712	7500	-4.880116	-121.315979
21	0.537324	7500	-4.796346	-126.112325
22	0.520268	7500	-4.756106	-130.868431
23	0.503540	7500	-4.696765	-135.565196
24	0.487139	7500	-4.609435	-140.174630
25	0.471063	7500	-4.539508	-144.714138
26	0.455310	7500	-4.458499	-149.172637
27	0.439877	7500	-4.392109	-153.564746
28	0.424762	7500	-4.291283	-157.856028
29	0.409963	7500	-4.222172	-162.078201
30	0.395478	7500	-4.139244	-166.217445
31	0.381305	7500	-4.064380	-170.281824
32	0.367440	7500	-4.009028	-174.290852
33	0.353883	7500	-3.940369	-178.231221
34	0.340630	7500	-3.860372	-182.091592
35	0.327680	7500	-3.789512	-185.881104
36	0.315030	7500	-3.724793	-189.605897
37	0.302677	7500	-3.638169	-193.244066
38	0.290619	7500	-3.595782	-196.839848
39	0.278855	7500	-3.509059	-200.348907
40	0.267381	7500	-3.409782	-203.758689
41	0.256195	7500	-3.371124	-207.129812
42	0.245294	7500	-3.312864	-210.442677
43	0.234677	7500	-3.228176	-213.670853
44	0.224340	7500	-3.164789	-216.835643
45	0.214281	7500	-3.086223	-219.921866
46	0.204498	7500	-3.032745	-222.954611
47	0.194988	7500	-2.970476	-225.925087
48	0.185749	7500	-2.900632	-228.825718
49	0.176777	7500	-2.835301	-231.661019
50	0.168070	7500	-2.779295	-234.440314
51	0.159626	7500	-2.707528	-237.147842
52	0.151441	7500	-2.624754	-239.772596
53	0.143514	7500	-2.562532	-242.335128
54	0.135841	7500	-2.516943	-244.852072
55	0.128420	7500	-2.439485	-247.291556
56	0.121247	7500	-2.387091	-249.678648
57	0.114320	7500	-2.311911	-251.990559
58	0.107637	7500	-2.255784	-254.246343
59	0.101193	7500	-2.191826	-256.438168
60	0.094986	7500	-2.128724	-258.566892
61	0.089014	7500	-2.069211	-260.636103
62	0.083273	7500	-2.003706	-262.639809
63	0.077760	7500	-1.946140	-264.585949
64	0.072472	7500	-1.878318	-266.464268
65	0.067406	7500	-1.816360	-268.280628
66	0.062558	7500	-1.747488	-270.028116
67	0.057926	7500	-1.690647	-271.718763
68	0.053506	7500	-1.618483	-273.337246
69	0.049295	7500	-1.554745	-274.891991
70	0.045289	7500	-1.497269	-276.389259
71	0.041485	7500	-1.422691	-277.811950
72	0.037880	7500	-1.366728	-279.178678
73	0.034469	7500	-1.303484	-280.482163
74	0.031250	7500	-1.229601	-281.711764
75	0.028218	7500	-1.181339	-282.893103
76	0.025370	7500	-1.112179	-284.005281
77	0.022702	7500	-1.051289	-285.056571
78	0.020209	7500	-0.996264	-286.052835
79	0.017889	7500	-0.931150	-286.983986
80	0.015736	7500	-0.875732	-287.859717
81	0.013746	7500	-0.812028	-288.671745
82	0.011916	7500	-0.747174	-289.418919
83	0.010240	7500	-0.695585	-290.114504
84	0.008714	7500	-0.634923	-290.749427
85	0.007334	7500	-0.581335	-291.330762
86	0.006093	7500	-0.526991	-291.857754
87	0.004988	7500	-0.469021	-292.326774
88	0.004013	7500	-0.416385	-292.743160
89	0.003162	7500	-0.361595	-293.104755
90	0.002430	7500	-0.313245	-293.418000
91	0.001810	7500	-0.264001	-293.682001
92	0.001296	7500	-0.220414	-293.902416
93	0.000882	7500	-0.177379	-294.079795
94	0.000559	7500	-0.139717	-294.219512
95	0.000320	7500	-0.102658	-294.322170
96	0.000156	7500	-0.070970	-294.393140
97	0.000057	7500	-0.042618	-294.435759
98	0.000010	7500	-0.020205	-294.455964
99	0.000000	7500	-0.004353	-294.460317
Log marginal likelihood:	-294.460317
