Steppingstone sampler:
        No Stones:                  100
        Start It:                   1010001
        It Per Stone:               10000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	7500	-5.247842	-5.247842
1	0.950747	7500	-5.136208	-10.384050
2	0.926679	7500	-5.050519	-15.434569
3	0.902980	7500	-4.980989	-20.415558
4	0.879648	7500	-4.925689	-25.341246
5	0.856682	7500	-4.858984	-30.200231
6	0.834079	7500	-4.783131	-34.983362
7	0.811838	7500	-4.731389	-39.714751
8	0.789957	7500	-4.638981	-44.353732
9	0.768433	7500	-4.597334	-48.951066
10	0.747266	7500	-4.498777	-53.449844
11	0.726452	7500	-4.450527	-57.900371
12	0.705989	7500	-4.366213	-62.266584
13	0.685877	7500	-4.279172	-66.545757
14	0.666112	7500	-4.223549	-70.769306
15	0.646693	7500	-4.199797	-74.969103
16	0.627618	7500	-4.094453	-79.063556
17	0.608884	7500	-4.066648	-83.130204
18	0.590490	7500	-3.960163	-87.090367
19	0.572433	7500	-3.923624	-91.013990
20	0.554712	7500	-3.857216	-94.871207
21	0.537324	7500	-3.767043	-98.638250
22	0.520268	7500	-3.731473	-102.369723
23	0.503540	7500	-3.673116	-106.042839
24	0.487139	7500	-3.609930	-109.652769
25	0.471063	7500	-3.551166	-113.203934
26	0.455310	7500	-3.505884	-116.709818
27	0.439877	7500	-3.441002	-120.150821
28	0.424762	7500	-3.390761	-123.541582
29	0.409963	7500	-3.309200	-126.850782
30	0.395478	7500	-3.259203	-130.109985
31	0.381305	7500	-3.205184	-133.315170
32	0.367440	7500	-3.148900	-136.464069
33	0.353883	7500	-3.082306	-139.546375
34	0.340630	7500	-3.035281	-142.581656
35	0.327680	7500	-2.977195	-145.558851
36	0.315030	7500	-2.909183	-148.468034
37	0.302677	7500	-2.862337	-151.330371
38	0.290619	7500	-2.819437	-154.149808
39	0.278855	7500	-2.755058	-156.904866
40	0.267381	7500	-2.704769	-159.609635
41	0.256195	7500	-2.659661	-162.269296
42	0.245294	7500	-2.613698	-164.882994
43	0.234677	7500	-2.554276	-167.437270
44	0.224340	7500	-2.480974	-169.918243
45	0.214281	7500	-2.447013	-172.365256
46	0.204498	7500	-2.388703	-174.753959
47	0.194988	7500	-2.326839	-177.080799
48	0.185749	7500	-2.282075	-179.362873
49	0.176777	7500	-2.225077	-181.587950
50	0.168070	7500	-2.178165	-183.766116
51	0.159626	7500	-2.126908	-185.893023
52	0.151441	7500	-2.083383	-187.976406
53	0.143514	7500	-2.041178	-190.017584
54	0.135841	7500	-1.962831	-191.980414
55	0.128420	7500	-1.925074	-193.905488
56	0.121247	7500	-1.870337	-195.775826
57	0.114320	7500	-1.815720	-197.591545
58	0.107637	7500	-1.777781	-199.369326
59	0.101193	7500	-1.715206	-201.084532
60	0.094986	7500	-1.674004	-202.758536
61	0.089014	7500	-1.618573	-204.377109
62	0.083273	7500	-1.572931	-205.950041
63	0.077760	7500	-1.514763	-207.464803
64	0.072472	7500	-1.462292	-208.927095
65	0.067406	7500	-1.411898	-210.338993
66	0.062558	7500	-1.365372	-211.704365
67	0.057926	7500	-1.300339	-213.004704
68	0.053506	7500	-1.276841	-214.281545
69	0.049295	7500	-1.215752	-215.497297
70	0.045289	7500	-1.169912	-216.667209
71	0.041485	7500	-1.115135	-217.782344
72	0.037880	7500	-1.070504	-218.852848
73	0.034469	7500	-1.022285	-219.875132
74	0.031250	7500	-0.977801	-220.852934
75	0.028218	7500	-0.917106	-221.770039
76	0.025370	7500	-0.871097	-222.641136
77	0.022702	7500	-0.820637	-223.461772
78	0.020209	7500	-0.785976	-224.247749
79	0.017889	7500	-0.730041	-224.977790
80	0.015736	7500	-0.666091	-225.643881
81	0.013746	7500	-0.639198	-226.283078
82	0.011916	7500	-0.590293	-226.873372
83	0.010240	7500	-0.543994	-227.417365
84	0.008714	7500	-0.491743	-227.909108
85	0.007334	7500	-0.451512	-228.360619
86	0.006093	7500	-0.408540	-228.769159
87	0.004988	7500	-0.368907	-229.138066
88	0.004013	7500	-0.320394	-229.458460
89	0.003162	7500	-0.283964	-229.742424
90	0.002430	7500	-0.244345	-229.986769
91	0.001810	7500	-0.210102	-230.196870
92	0.001296	7500	-0.175580	-230.372450
93	0.000882	7500	-0.143499	-230.515949
94	0.000559	7500	-0.108131	-230.624080
95	0.000320	7500	-0.081043	-230.705123
96	0.000156	7500	-0.055264	-230.760387
97	0.000057	7500	-0.034447	-230.794834
98	0.000010	7500	-0.015597	-230.810431
99	0.000000	7500	-0.003337	-230.813768
Log marginal likelihood:	-230.813768
