Steppingstone sampler:
        No Stones:                  100
        Start It:                   1010001
        It Per Stone:               10000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	7500	-6.473288	-6.473288
1	0.950747	7500	-6.363625	-12.836913
2	0.926679	7500	-6.272879	-19.109792
3	0.902980	7500	-6.171686	-25.281478
4	0.879648	7500	-6.069762	-31.351240
5	0.856682	7500	-6.003697	-37.354937
6	0.834079	7500	-5.908712	-43.263649
7	0.811838	7500	-5.818320	-49.081969
8	0.789957	7500	-5.734201	-54.816171
9	0.768433	7500	-5.643660	-60.459830
10	0.747266	7500	-5.554214	-66.014045
11	0.726452	7500	-5.459777	-71.473821
12	0.705989	7500	-5.376438	-76.850259
13	0.685877	7500	-5.296725	-82.146983
14	0.666112	7500	-5.199000	-87.345984
15	0.646693	7500	-5.126106	-92.472089
16	0.627618	7500	-5.077194	-97.549283
17	0.608884	7500	-4.989132	-102.538416
18	0.590490	7500	-4.905369	-107.443784
19	0.572433	7500	-4.822537	-112.266322
20	0.554712	7500	-4.731043	-116.997365
21	0.537324	7500	-4.623291	-121.620655
22	0.520268	7500	-4.536861	-126.157516
23	0.503540	7500	-4.470270	-130.627786
24	0.487139	7500	-4.427245	-135.055031
25	0.471063	7500	-4.317544	-139.372575
26	0.455310	7500	-4.264915	-143.637491
27	0.439877	7500	-4.157804	-147.795294
28	0.424762	7500	-4.103817	-151.899111
29	0.409963	7500	-4.019105	-155.918216
30	0.395478	7500	-3.914421	-159.832638
31	0.381305	7500	-3.855869	-163.688506
32	0.367440	7500	-3.775205	-167.463711
33	0.353883	7500	-3.718715	-171.182426
34	0.340630	7500	-3.695463	-174.877890
35	0.327680	7500	-3.581958	-178.459848
36	0.315030	7500	-3.501596	-181.961444
37	0.302677	7500	-3.487914	-185.449358
38	0.290619	7500	-3.362770	-188.812129
39	0.278855	7500	-3.338269	-192.150398
40	0.267381	7500	-3.282810	-195.433208
41	0.256195	7500	-3.219189	-198.652397
42	0.245294	7500	-3.140707	-201.793104
43	0.234677	7500	-3.068149	-204.861253
44	0.224340	7500	-2.993939	-207.855192
45	0.214281	7500	-2.957389	-210.812581
46	0.204498	7500	-2.881622	-213.694204
47	0.194988	7500	-2.822885	-216.517089
48	0.185749	7500	-2.781174	-219.298263
49	0.176777	7500	-2.712940	-222.011203
50	0.168070	7500	-2.662772	-224.673975
51	0.159626	7500	-2.585139	-227.259114
52	0.151441	7500	-2.570224	-229.829339
53	0.143514	7500	-2.486422	-232.315761
54	0.135841	7500	-2.425927	-234.741688
55	0.128420	7500	-2.367442	-237.109131
56	0.121247	7500	-2.299782	-239.408913
57	0.114320	7500	-2.244331	-241.653244
58	0.107637	7500	-2.199434	-243.852678
59	0.101193	7500	-2.136204	-245.988882
60	0.094986	7500	-2.065868	-248.054750
61	0.089014	7500	-2.014522	-250.069272
62	0.083273	7500	-1.975636	-252.044908
63	0.077760	7500	-1.910517	-253.955425
64	0.072472	7500	-1.855560	-255.810985
65	0.067406	7500	-1.793034	-257.604019
66	0.062558	7500	-1.726484	-259.330503
67	0.057926	7500	-1.665736	-260.996240
68	0.053506	7500	-1.632232	-262.628471
69	0.049295	7500	-1.552828	-264.181300
70	0.045289	7500	-1.495177	-265.676476
71	0.041485	7500	-1.428012	-267.104489
72	0.037880	7500	-1.379629	-268.484118
73	0.034469	7500	-1.310079	-269.794197
74	0.031250	7500	-1.249085	-271.043282
75	0.028218	7500	-1.187960	-272.231242
76	0.025370	7500	-1.134948	-273.366191
77	0.022702	7500	-1.076445	-274.442635
78	0.020209	7500	-0.999817	-275.442452
79	0.017889	7500	-0.948741	-276.391194
80	0.015736	7500	-0.889613	-277.280807
81	0.013746	7500	-0.847175	-278.127982
82	0.011916	7500	-0.771573	-278.899556
83	0.010240	7500	-0.718905	-279.618460
84	0.008714	7500	-0.654099	-280.272560
85	0.007334	7500	-0.598536	-280.871096
86	0.006093	7500	-0.531893	-281.402989
87	0.004988	7500	-0.494341	-281.897329
88	0.004013	7500	-0.434137	-282.331466
89	0.003162	7500	-0.381536	-282.713003
90	0.002430	7500	-0.332646	-283.045649
91	0.001810	7500	-0.277584	-283.323234
92	0.001296	7500	-0.230409	-283.553643
93	0.000882	7500	-0.186884	-283.740528
94	0.000559	7500	-0.147201	-283.887729
95	0.000320	7500	-0.109229	-283.996958
96	0.000156	7500	-0.075207	-284.072164
97	0.000057	7500	-0.045673	-284.117837
98	0.000010	7500	-0.021590	-284.139427
99	0.000000	7500	-0.004538	-284.143965
Log marginal likelihood:	-284.143965
