Steppingstone sampler:
        No Stones:                  100
        Start It:                   1010001
        It Per Stone:               10000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	7500	-5.236087	-5.236087
1	0.950747	7500	-5.165281	-10.401368
2	0.926679	7500	-5.092799	-15.494167
3	0.902980	7500	-5.065871	-20.560038
4	0.879648	7500	-4.944865	-25.504903
5	0.856682	7500	-4.892035	-30.396938
6	0.834079	7500	-4.863157	-35.260094
7	0.811838	7500	-4.781492	-40.041587
8	0.789957	7500	-4.685635	-44.727221
9	0.768433	7500	-4.587906	-49.315127
10	0.747266	7500	-4.565198	-53.880324
11	0.726452	7500	-4.466602	-58.346927
12	0.705989	7500	-4.439379	-62.786306
13	0.685877	7500	-4.365912	-67.152218
14	0.666112	7500	-4.306173	-71.458391
15	0.646693	7500	-4.205007	-75.663398
16	0.627618	7500	-4.191374	-79.854772
17	0.608884	7500	-4.099309	-83.954082
18	0.590490	7500	-4.021003	-87.975085
19	0.572433	7500	-3.957733	-91.932818
20	0.554712	7500	-3.906673	-95.839491
21	0.537324	7500	-3.840249	-99.679740
22	0.520268	7500	-3.766168	-103.445907
23	0.503540	7500	-3.699097	-107.145005
24	0.487139	7500	-3.628152	-110.773157
25	0.471063	7500	-3.579784	-114.352940
26	0.455310	7500	-3.531812	-117.884752
27	0.439877	7500	-3.444154	-121.328905
28	0.424762	7500	-3.407523	-124.736428
29	0.409963	7500	-3.328919	-128.065347
30	0.395478	7500	-3.286040	-131.351387
31	0.381305	7500	-3.214030	-134.565417
32	0.367440	7500	-3.147728	-137.713145
33	0.353883	7500	-3.113694	-140.826839
34	0.340630	7500	-3.070532	-143.897371
35	0.327680	7500	-3.001876	-146.899247
36	0.315030	7500	-2.944317	-149.843564
37	0.302677	7500	-2.893506	-152.737071
38	0.290619	7500	-2.829930	-155.567000
39	0.278855	7500	-2.789023	-158.356023
40	0.267381	7500	-2.717641	-161.073665
41	0.256195	7500	-2.674899	-163.748563
42	0.245294	7500	-2.617425	-166.365988
43	0.234677	7500	-2.564289	-168.930277
44	0.224340	7500	-2.509715	-171.439992
45	0.214281	7500	-2.464582	-173.904574
46	0.204498	7500	-2.405416	-176.309990
47	0.194988	7500	-2.350969	-178.660960
48	0.185749	7500	-2.298587	-180.959547
49	0.176777	7500	-2.251199	-183.210746
50	0.168070	7500	-2.201046	-185.411792
51	0.159626	7500	-2.144053	-187.555844
52	0.151441	7500	-2.087133	-189.642978
53	0.143514	7500	-2.040495	-191.683473
54	0.135841	7500	-1.993428	-193.676901
55	0.128420	7500	-1.942100	-195.619001
56	0.121247	7500	-1.887464	-197.506465
57	0.114320	7500	-1.840737	-199.347202
58	0.107637	7500	-1.775744	-201.122946
59	0.101193	7500	-1.736411	-202.859357
60	0.094986	7500	-1.688096	-204.547452
61	0.089014	7500	-1.638239	-206.185691
62	0.083273	7500	-1.580288	-207.765979
63	0.077760	7500	-1.539047	-209.305026
64	0.072472	7500	-1.489620	-210.794646
65	0.067406	7500	-1.425251	-212.219897
66	0.062558	7500	-1.384905	-213.604802
67	0.057926	7500	-1.334560	-214.939362
68	0.053506	7500	-1.286246	-216.225608
69	0.049295	7500	-1.236515	-217.462123
70	0.045289	7500	-1.176618	-218.638741
71	0.041485	7500	-1.122706	-219.761448
72	0.037880	7500	-1.077379	-220.838827
73	0.034469	7500	-1.037559	-221.876386
74	0.031250	7500	-0.987601	-222.863986
75	0.028218	7500	-0.930583	-223.794569
76	0.025370	7500	-0.884073	-224.678643
77	0.022702	7500	-0.827782	-225.506424
78	0.020209	7500	-0.788495	-226.294919
79	0.017889	7500	-0.732124	-227.027044
80	0.015736	7500	-0.693250	-227.720293
81	0.013746	7500	-0.651965	-228.372258
82	0.011916	7500	-0.590772	-228.963030
83	0.010240	7500	-0.546193	-229.509223
84	0.008714	7500	-0.498283	-230.007506
85	0.007334	7500	-0.455786	-230.463291
86	0.006093	7500	-0.412346	-230.875637
87	0.004988	7500	-0.370773	-231.246410
88	0.004013	7500	-0.331602	-231.578012
89	0.003162	7500	-0.287513	-231.865526
90	0.002430	7500	-0.247482	-232.113007
91	0.001810	7500	-0.208980	-232.321988
92	0.001296	7500	-0.177629	-232.499617
93	0.000882	7500	-0.142208	-232.641825
94	0.000559	7500	-0.112185	-232.754010
95	0.000320	7500	-0.082411	-232.836421
96	0.000156	7500	-0.056557	-232.892978
97	0.000057	7500	-0.034073	-232.927051
98	0.000010	7500	-0.015916	-232.942967
99	0.000000	7500	-0.003453	-232.946421
Log marginal likelihood:	-232.946421
